CODIGO;TIPO;LOCALIDADE;AUTORES;TITULO;SUBTITULO;EDITORA;ANO;QTD_EXEMPLARES
2;Livro;Biblioteca SGA;BENÍTEZ, J. J.;Cavalo de Troia 1;jerusalém;Planeta do Brasil;2014;2
3;Livro;Biblioteca SGA;BENÍTEZ, J. J.;Cavalo de Troia 2;Massada;Planeta do Brasil;2014;2
4;Livro;Biblioteca SGA;Swarup, Vikas;Sua resposta vale um bilhão;;Panini Books;2009;3
5;Livro;Biblioteca SGA;BENÍTEZ, J. J.;Cavalo de tróia 4;Nazaré;Planeta do Brasil;2008;2
7;Livro;Biblioteca SGA;Souza, Mauricio de ;Magali;fábulas;Panini Books;2018;2
9;Livro;Biblioteca SGA;Colasanti, Marina;Uma ideia toda azul;contos;Globo;2006;1
10;Livro;Biblioteca SGA;DEL PRIORE, Mary;Histórias Íntimas ;sexualidade e erotismo na história do Brasil;Planeta do Brasil;2014;2
11;Livro;Biblioteca SGA;DEL PRIORE, Mary, VENANCIO, Renato;Uma breve história do Brasil;;Planeta do Brasil;2016;1
13;Livro;Biblioteca SGA;Fausto, Boris;História do Brasil;;Editora da universidade de São Paulo;2015;1
15;Livro;Biblioteca SGA;SCHWARCZ, Lilia M., STARLING, Heloisa M.;Brasil: ;uma Biografia;Companhia das Letras;2018;2
17;Livro;Biblioteca SGA;Colasanti, Marina;Doze reis e a moça no labirinto do vento;;Globo;2006;1
18;Livro;Biblioteca SGA;BLAINEY, Geoffrey;Uma breve história do mundo;;Fundamento educacional;2015;1
19;Livro;Biblioteca SGA;Marillac, Glacia, Azevedo, Milena;Dara, Dora e as estrelas;;CJA Edições;2018;2
21;Livro;Biblioteca SGA;Souza, Mauricio de ;Turma da Mônica;todas as copas do mundo;Panini Books;2018;2
22;Livro;Biblioteca SGA;Gomes, Laurentino;1808:;como uma rainha louca, um príncipe medroso e uma corte corrupta enganaram Napoleão e mudaram a história de portugual e do Brasil;Planeta do Brasil;2007;2
23;Livro;Biblioteca SGA;José de Castro, Alexandre Souza, Castro, José de , Souza, Alexandre;Poemas bricantes;;CJA Edições;2015;3
24;Livro;Biblioteca SGA;Elias, Walter , Barks, Carl;O melhor da Disney;Pato Donald;Abril;2004;1
25;Livro;Biblioteca SGA;Barro, João, Guedes, Avelino;A história da baratinha;;Moderna;1995;2
26;Livro;Biblioteca SGA;Pereira, Jadson S., Silva, Jonny Edson;Game e garagem;memórias ocultas de um década sem rumo;CJA Edições;2018;2
27;Livro;Biblioteca SGA;Guadagnin, Mariângela, Ferreth;A joaninha e a joanete;;CJA Edições;2016;2
28;Livro;Biblioteca SGA;Demi, Shahel, Monica;O pote vazio;;Martins Fontes;2007;1
29;Livro;Biblioteca SGA;Francisco, Antônio, Castro, José de , Brum;Meu amigo paladar;um guia da alimentação saudável;Comunique;2016;1
30;Livro;Biblioteca SGA;Gomes, Laurentino;1808:;Como uma rainha louca, um príncipe medroso e uma corte corrupta enganaram Napoleão e mudaram a história de Portugal e do Brasil;Planeta;2014;1
31;Livro;Biblioteca SGA;Gomes, Laurentino;1822;Como um homem sábio, uma princesa triste e um escocês louco por dinheiro ajudaram Dom Pedro a criar o Brasil-um país que tinha tudo pra dar errado.;Globo;2015;2
32;Livro;Biblioteca SGA;Gomes, Laurentino;1889:;como um imperador cansado, um marechal vaidoso e um professor injustiçado contribuíram para o fim da monarquia e a proclamação da república no Brasil;Globo;2013;2
34;Livro;Biblioteca SGA;BYNUM, William;Uma Breve história da ciência;;L&PM Pocket;2018;2
35;Livro;Biblioteca SGA;Hobsbawm, Eric;Era dos extremos;o breve século XX: 1914-1991;Companhia das Letras;1995;1
36;Livro;Biblioteca SGA;Gomes, Adriano, Bulhões, Raíssa;A casa e a velha;;Comunique;2016;1
37;Livro;Biblioteca SGA;Hobsbawm, Eric;A Era dos impérios;1875-1914;Paz e Terra;2017;2
38;Livro;Biblioteca SGA;Hobsbawm, Eric;A era do capital;1848-1875;Paz e Terra;2016;2
39;Livro;Biblioteca SGA;Hobsbawm, Eric;A era das revoluções;1789-1848;Paz e Terra;2018;2
